,date,home_team,away_team,result,toss,home_rank,home_rating,away_rank,away_rating
129,2011/09/20,Sri Lanka,Sri Lanka,draw,home,5,103.0,5,103.0
130,2012/11/19,Pakistan,India,away,away,4,109.0,5,106.0
131,2006/04/19,South Africa,South Africa,home,home,6,98.0,6,98.0
132,2008/01/28,Australia,Australia,draw,India,1,141.0,1,141.0
133,2006/06/06,West Indies,India,draw,away,8,72.0,3,111.0
134,2007/12/22,Sri Lanka,Sri Lanka,draw,England,3,109.0,3,109.0
135,2010/03/23,New Zealand,New Zealand,Australia,Australia,7,80.0,7,80.0
136,2010/06/29,West Indies,West Indies,South Africa,home,8,77.0,8,77.0
137,2006/01/25,Pakistan,Pakistan,draw,home,4,103.0,4,103.0
138,2007/12/05,Sri Lanka,Sri Lanka,home,home,3,109.0,3,109.0
139,2010/01/17,South Africa,South Africa,home,England,2,120.0,2,120.0
140,2009/08/23,England,England,home,home,5,105.0,5,105.0
141,2006/02/01,Pakistan,Pakistan,home,India,4,108.0,4,108.0
142,2007/05/21,England,England,draw,West Indies,2,114.0,2,114.0
143,2005/12/22,Pakistan,India,away,away,4,103.0,2,115.0
144,2011/12/04,Australia,Australia,home,New Zealand,4,103.0,4,103.0
145,2005/09/22,Sri Lanka,Sri Lanka,home,home,6,99.0,6,99.0
146,2004/04/16,Pakistan,Pakistan,India,India,6,99.0,6,99.0
147,2008/12/01,Australia,Australia,home,New Zealand,1,130.0,1,130.0
148,2011/01/09,New Zealand,New Zealand,Pakistan,Pakistan,8,78.0,8,78.0
149,2010/10/13,India,India,home,Australia,1,130.0,1,130.0
150,2006/05/07,South Africa,New Zealand,home,home,5,101.0,6,97.0
151,2012/11/25,Bangladesh,Bangladesh,West Indies,home,9,0.0,9,0.0
152,2006/01/06,Australia,South Africa,home,away,1,129.0,6,99.0
153,2010/08/09,England,England,home,Pakistan,5,112.0,5,112.0
154,2005/09/16,Zimbabwe,Zimbabwe,India,home,9,27.0,9,27.0
155,2005/09/14,Sri Lanka,Bangladesh,home,home,6,99.0,10,5.0
156,2010/02/09,India,India,South Africa,South Africa,1,124.0,1,124.0
157,2012/01/28,Pakistan,England,home,home,5,99.0,1,125.0
158,2012/08/05,West Indies,West Indies,home,home,7,90.0,7,90.0
159,2010/12/20,South Africa,South Africa,home,home,2,116.0,2,116.0
160,2008/06/16,West Indies,West Indies,Australia,home,8,81.0,8,81.0
161,2010/11/16,Pakistan,Pakistan,draw,South Africa,6,88.0,6,88.0
162,2006/03/28,South Africa,Australia,away,away,6,99.0,1,129.0
163,2009/07/20,England,England,home,home,5,101.0,5,101.0
164,2009/12/06,India,India,home,Sri Lanka,1,124.0,1,124.0
165,2009/12/20,South Africa,South Africa,draw,England,2,122.0,2,122.0
166,2012/01/06,Australia,Australia,home,India,4,111.0,4,111.0
167,2006/04/13,Bangladesh,Bangladesh,Australia,home,10,3.0,10,3.0
168,2009/07/24,Sri Lanka,Sri Lanka,draw,home,4,111.0,4,111.0
169,2008/12/15,India,India,home,England,2,118.0,2,118.0
170,2013/02/17,South Africa,South Africa,home,home,1,128.0,1,128.0
171,2005/08/17,Zimbabwe,Zimbabwe,New Zealand,home,9,28.0,9,28.0
172,2007/07/05,Sri Lanka,Bangladesh,home,home,3,107.0,9,4.0
173,2008/04/05,Pakistan,India,South Africa,away,6,94.0,2,111.0
174,2004/08/21,England,England,home,home,2,109.0,2,109.0
