,year,month,team,ranking,rating
124,2005,JANUARY,Pakistan,5,101.0
125,2005,JANUARY,South Africa,6,99.0
126,2005,JANUARY,New Zealand,7,93.0
127,2005,JANUARY,West Indies,8,73.0
128,2005,JANUARY,Zimbabwe,9,42.0
129,2005,JANUARY,Bangladesh,10,6.0
130,2005,FEBRUARY,Australia,1,132.0
131,2005,FEBRUARY,England,2,110.0
132,2005,FEBRUARY,India,3,108.0
133,2005,FEBRUARY,Sri Lanka,4,103.0
134,2005,FEBRUARY,Pakistan,5,101.0
135,2005,FEBRUARY,South Africa,6,99.0
136,2005,FEBRUARY,New Zealand,7,93.0
137,2005,FEBRUARY,West Indies,8,73.0
138,2005,FEBRUARY,Zimbabwe,9,42.0
139,2005,FEBRUARY,Bangladesh,10,6.0
140,2005,MARCH,Australia,1,132.0
141,2005,MARCH,England,2,110.0
142,2005,MARCH,India,3,107.0
143,2005,MARCH,Sri Lanka,4,103.0
144,2005,MARCH,Pakistan,5,102.0
145,2005,MARCH,South Africa,6,99.0
146,2005,MARCH,New Zealand,7,93.0
147,2005,MARCH,West Indies,8,73.0
148,2005,MARCH,Zimbabwe,9,41.0
149,2005,MARCH,Bangladesh,10,6.0
150,2005,APRIL,Australia,1,132.0
151,2005,APRIL,England,2,110.0
152,2005,APRIL,India,3,107.0
153,2005,APRIL,Sri Lanka,4,103.0
154,2005,APRIL,Pakistan,5,102.0
155,2005,APRIL,South Africa,6,99.0
156,2005,APRIL,New Zealand,7,93.0
157,2005,APRIL,West Indies,8,73.0
158,2005,APRIL,Zimbabwe,9,41.0
159,2005,APRIL,Bangladesh,10,6.0
160,2005,MAY,Australia,1,132.0
161,2005,MAY,England,2,110.0
162,2005,MAY,India,3,107.0
163,2005,MAY,Pakistan,4,102.0
164,2005,MAY,Sri Lanka,5,100.0
165,2005,MAY,South Africa,6,100.0
166,2005,MAY,New Zealand,7,97.0
167,2005,MAY,West Indies,8,73.0
168,2005,MAY,Zimbabwe,9,41.0
169,2005,MAY,Bangladesh,10,6.0
170,2005,JUNE,Australia,1,132.0
171,2005,JUNE,England,2,111.0
172,2005,JUNE,India,3,107.0
173,2005,JUNE,Pakistan,4,100.0
174,2005,JUNE,Sri Lanka,5,100.0
175,2005,JUNE,South Africa,6,100.0
176,2005,JUNE,New Zealand,7,97.0
177,2005,JUNE,West Indies,8,75.0
178,2005,JUNE,Zimbabwe,9,41.0
179,2005,JUNE,Bangladesh,10,5.0
180,2005,JULY,Australia,1,132.0
181,2005,JULY,England,2,111.0
182,2005,JULY,India,3,107.0
183,2005,JULY,Sri Lanka,4,102.0
184,2005,JULY,Pakistan,5,100.0
185,2005,JULY,South Africa,6,100.0
186,2005,JULY,New Zealand,7,97.0
187,2005,JULY,West Indies,8,73.0
188,2005,JULY,Zimbabwe,9,41.0
189,2005,JULY,Bangladesh,10,5.0
190,2005,AUGUST,Australia,1,133.0
191,2005,AUGUST,England,2,114.0
192,2005,AUGUST,India,3,111.0
193,2005,AUGUST,South Africa,4,100.0
194,2005,AUGUST,New Zealand,5,100.0
195,2005,AUGUST,Sri Lanka,6,98.0
196,2005,AUGUST,Pakistan,7,95.0
197,2005,AUGUST,West Indies,8,74.0
198,2005,AUGUST,Zimbabwe,9,28.0
199,2005,AUGUST,Bangladesh,10,6.0
200,2005,SEPTEMBER,Australia,1,127.0
201,2005,SEPTEMBER,England,2,119.0
202,2005,SEPTEMBER,India,3,112.0
203,2005,SEPTEMBER,South Africa,4,100.0
204,2005,SEPTEMBER,New Zealand,5,100.0
205,2005,SEPTEMBER,Sri Lanka,6,99.0
206,2005,SEPTEMBER,Pakistan,7,95.0
207,2005,SEPTEMBER,West Indies,8,74.0
208,2005,SEPTEMBER,Zimbabwe,9,27.0
209,2005,SEPTEMBER,Bangladesh,10,5.0
210,2005,OCTOBER,Australia,1,127.0
211,2005,OCTOBER,England,2,119.0
212,2005,OCTOBER,India,3,112.0
213,2005,OCTOBER,South Africa,4,100.0
214,2005,OCTOBER,New Zealand,5,100.0
215,2005,OCTOBER,Sri Lanka,6,99.0
216,2005,OCTOBER,Pakistan,7,95.0
217,2005,OCTOBER,West Indies,8,74.0
218,2005,OCTOBER,Zimbabwe,9,27.0
219,2005,OCTOBER,Bangladesh,10,5.0
220,2005,NOVEMBER,Australia,1,128.0
221,2005,NOVEMBER,England,2,119.0
222,2005,NOVEMBER,India,3,112.0
223,2005,NOVEMBER,South Africa,4,100.0
224,2005,NOVEMBER,New Zealand,5,100.0
225,2005,NOVEMBER,Sri Lanka,6,99.0
226,2005,NOVEMBER,Pakistan,7,95.0
227,2005,NOVEMBER,West Indies,8,73.0
228,2005,NOVEMBER,Zimbabwe,9,27.0
229,2005,NOVEMBER,Bangladesh,10,5.0
230,2005,DECEMBER,Australia,1,128.0
231,2005,DECEMBER,India,2,115.0
232,2005,DECEMBER,England,3,113.0
233,2005,DECEMBER,Pakistan,4,103.0
234,2005,DECEMBER,South Africa,5,100.0
235,2005,DECEMBER,New Zealand,6,100.0
236,2005,DECEMBER,Sri Lanka,7,96.0
237,2005,DECEMBER,West Indies,8,73.0
238,2005,DECEMBER,Zimbabwe,9,27.0
239,2005,DECEMBER,Bangladesh,10,5.0
240,2006,JANUARY,Australia,1,129.0
241,2006,JANUARY,India,2,115.0
242,2006,JANUARY,England,3,113.0
243,2006,JANUARY,Pakistan,4,103.0
244,2006,JANUARY,New Zealand,5,100.0
245,2006,JANUARY,South Africa,6,99.0
246,2006,JANUARY,Sri Lanka,7,96.0
247,2006,JANUARY,West Indies,8,73.0
248,2006,JANUARY,Zimbabwe,9,27.0
249,2006,JANUARY,Bangladesh,10,5.0
250,2006,FEBRUARY,Australia,1,129.0
251,2006,FEBRUARY,England,2,113.0
252,2006,FEBRUARY,India,3,111.0
253,2006,FEBRUARY,Pakistan,4,108.0
254,2006,FEBRUARY,New Zealand,5,100.0
255,2006,FEBRUARY,South Africa,6,99.0
256,2006,FEBRUARY,Sri Lanka,7,96.0
257,2006,FEBRUARY,West Indies,8,73.0
258,2006,FEBRUARY,Zimbabwe,9,27.0
259,2006,FEBRUARY,Bangladesh,10,5.0
260,2006,MARCH,Australia,1,129.0
261,2006,MARCH,England,2,113.0
262,2006,MARCH,India,3,111.0
263,2006,MARCH,Pakistan,4,108.0
264,2006,MARCH,New Zealand,5,101.0
265,2006,MARCH,South Africa,6,99.0
266,2006,MARCH,Sri Lanka,7,97.0
267,2006,MARCH,West Indies,8,72.0
268,2006,MARCH,Zimbabwe,9,27.0
269,2006,MARCH,Bangladesh,10,0.0
270,2006,APRIL,Australia,1,131.0
271,2006,APRIL,England,2,113.0
272,2006,APRIL,India,3,111.0
273,2006,APRIL,Pakistan,4,109.0
274,2006,APRIL,New Zealand,5,101.0
275,2006,APRIL,South Africa,6,98.0
276,2006,APRIL,Sri Lanka,7,95.0
277,2006,APRIL,West Indies,8,72.0
278,2006,APRIL,Zimbabwe,9,27.0
279,2006,APRIL,Bangladesh,10,3.0
280,2006,MAY,Australia,1,131.0
281,2006,MAY,England,2,113.0
282,2006,MAY,India,3,111.0
283,2006,MAY,Pakistan,4,109.0
284,2006,MAY,South Africa,5,101.0
285,2006,MAY,New Zealand,6,97.0
286,2006,MAY,Sri Lanka,7,95.0
287,2006,MAY,West Indies,8,72.0
288,2006,MAY,Zimbabwe,9,27.0
289,2006,MAY,Bangladesh,10,3.0
290,2006,JUNE,Australia,1,131.0
291,2006,JUNE,England,2,112.0
292,2006,JUNE,India,3,111.0
293,2006,JUNE,Pakistan,4,109.0
294,2006,JUNE,South Africa,5,101.0
295,2006,JUNE,Sri Lanka,6,97.0
296,2006,JUNE,New Zealand,7,97.0
297,2006,JUNE,West Indies,8,72.0
298,2006,JUNE,Zimbabwe,9,27.0
299,2006,JUNE,Bangladesh,10,3.0
300,2006,JULY,Australia,1,131.0
301,2006,JULY,England,2,112.0
302,2006,JULY,Pakistan,3,109.0
303,2006,JULY,India,4,109.0
304,2006,JULY,South Africa,5,101.0
305,2006,JULY,Sri Lanka,6,97.0
306,2006,JULY,New Zealand,7,97.0
307,2006,JULY,West Indies,8,74.0
308,2006,JULY,Zimbabwe,9,27.0
309,2006,JULY,Bangladesh,10,3.0
310,2006,AUGUST,Australia,1,130.0
311,2006,AUGUST,England,2,119.0
312,2006,AUGUST,Pakistan,3,112.0
313,2006,AUGUST,India,4,111.0
314,2006,AUGUST,Sri Lanka,5,103.0
315,2006,AUGUST,South Africa,6,94.0
316,2006,AUGUST,New Zealand,7,92.0
317,2006,AUGUST,West Indies,8,72.0
318,2006,AUGUST,Zimbabwe,9,28.0
319,2006,AUGUST,Bangladesh,10,2.0
320,2006,SEPTEMBER,Australia,1,130.0
321,2006,SEPTEMBER,England,2,119.0
322,2006,SEPTEMBER,Pakistan,3,112.0
323,2006,SEPTEMBER,India,4,111.0
324,2006,SEPTEMBER,Sri Lanka,5,103.0
325,2006,SEPTEMBER,South Africa,6,94.0
326,2006,SEPTEMBER,New Zealand,7,92.0
327,2006,SEPTEMBER,West Indies,8,72.0
328,2006,SEPTEMBER,Zimbabwe,9,28.0
329,2006,SEPTEMBER,Bangladesh,10,2.0
330,2006,OCTOBER,Australia,1,130.0
331,2006,OCTOBER,England,2,119.0
332,2006,OCTOBER,Pakistan,3,112.0
333,2006,OCTOBER,India,4,111.0
334,2006,OCTOBER,Sri Lanka,5,103.0
335,2006,OCTOBER,South Africa,6,94.0
336,2006,OCTOBER,New Zealand,7,92.0
337,2006,OCTOBER,West Indies,8,72.0
338,2006,OCTOBER,Zimbabwe,9,28.0
339,2006,OCTOBER,Bangladesh,10,2.0
340,2006,DECEMBER,Australia,1,130.0
341,2006,DECEMBER,England,2,119.0
342,2006,DECEMBER,Pakistan,3,112.0
343,2006,DECEMBER,India,4,111.0
344,2006,DECEMBER,Sri Lanka,5,102.0
345,2006,DECEMBER,South Africa,6,94.0
346,2006,DECEMBER,New Zealand,7,93.0
347,2006,DECEMBER,West Indies,8,72.0
348,2006,DECEMBER,Zimbabwe,9,28.0
349,2006,DECEMBER,Bangladesh,10,2.0
