match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.1,Pakistan,India,Shoaib Malik,Salman Butt,IK Pathan,1,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.2,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.3,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,4,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.4,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.5,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,0.6,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.1,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,4,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.2,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.3,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.4,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.5,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,1.6,Pakistan,India,Shoaib Malik,Salman Butt,RP Singh,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,2.1,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,2.2,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,2.3,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,2.4,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
233797,2005/06,2006-01-21,Iqbal Stadium,1,2.5,Pakistan,India,Salman Butt,Shoaib Malik,IK Pathan,0,0,,,,,,,,,
