match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
565808,2012/13,2012-12-05,Eden Gardens,1,0.1,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,0.2,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,0.3,India,England,G Gambhir,V Sehwag,JM Anderson,1,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,0.4,India,England,V Sehwag,G Gambhir,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,0.5,India,England,V Sehwag,G Gambhir,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,0.6,India,England,V Sehwag,G Gambhir,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.1,India,England,G Gambhir,V Sehwag,ST Finn,4,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.2,India,England,G Gambhir,V Sehwag,ST Finn,4,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.3,India,England,G Gambhir,V Sehwag,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.4,India,England,G Gambhir,V Sehwag,ST Finn,1,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.5,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,1.6,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.1,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.2,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.3,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.4,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.5,India,England,G Gambhir,V Sehwag,JM Anderson,4,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,2.6,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.1,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.2,India,England,V Sehwag,G Gambhir,ST Finn,4,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.3,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.4,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.5,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,3.6,India,England,V Sehwag,G Gambhir,ST Finn,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,4.1,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,4.2,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
565808,2012/13,2012-12-05,Eden Gardens,1,4.3,India,England,G Gambhir,V Sehwag,JM Anderson,0,0,,,,,,,,,
