match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.1,India,West Indies,PP Shaw,KL Rahul,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.2,India,West Indies,PP Shaw,KL Rahul,ST Gabriel,3,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.3,India,West Indies,KL Rahul,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.4,India,West Indies,KL Rahul,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.5,India,West Indies,KL Rahul,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,0.6,India,West Indies,KL Rahul,PP Shaw,ST Gabriel,0,0,,,,,,lbw,KL Rahul,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.1,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.2,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.3,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.4,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.5,India,West Indies,PP Shaw,CA Pujara,KMA Paul,4,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,1.6,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.1,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.2,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.3,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,1,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.4,India,West Indies,PP Shaw,CA Pujara,ST Gabriel,0,1,,1,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.5,India,West Indies,PP Shaw,CA Pujara,ST Gabriel,3,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.6,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,2.7,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.1,India,West Indies,PP Shaw,CA Pujara,KMA Paul,4,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.2,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.3,India,West Indies,PP Shaw,CA Pujara,KMA Paul,4,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.4,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.5,India,West Indies,PP Shaw,CA Pujara,KMA Paul,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,3.6,India,West Indies,PP Shaw,CA Pujara,KMA Paul,4,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.1,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.2,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.3,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.4,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.5,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,4.6,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.1,India,West Indies,PP Shaw,CA Pujara,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.2,India,West Indies,PP Shaw,CA Pujara,SH Lewis,1,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.3,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.4,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.5,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,5.6,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.1,India,West Indies,PP Shaw,CA Pujara,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.2,India,West Indies,PP Shaw,CA Pujara,ST Gabriel,1,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.3,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.4,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.5,India,West Indies,CA Pujara,PP Shaw,ST Gabriel,1,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,6.6,India,West Indies,PP Shaw,CA Pujara,ST Gabriel,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,7.1,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,7.2,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,7.3,India,West Indies,CA Pujara,PP Shaw,SH Lewis,0,0,,,,,,,,,
1157752,2018/19,2018-10-04,Saurashtra Cricket Association Stadium,1,7.4,India,West Indies,CA Pujara,PP Shaw,SH Lewis,4,0,,,,,,,,,
