match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.1,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.2,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.3,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.4,Australia,South Africa,ML Hayden,SM Katich,M Ntini,4,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.5,Australia,South Africa,ML Hayden,SM Katich,M Ntini,4,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,0.6,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.1,Australia,South Africa,SM Katich,ML Hayden,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.2,Australia,South Africa,SM Katich,ML Hayden,DW Steyn,1,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.3,Australia,South Africa,ML Hayden,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.4,Australia,South Africa,ML Hayden,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.5,Australia,South Africa,ML Hayden,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,1.6,Australia,South Africa,ML Hayden,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.1,Australia,South Africa,SM Katich,ML Hayden,M Ntini,1,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.2,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.3,Australia,South Africa,ML Hayden,SM Katich,M Ntini,4,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.4,Australia,South Africa,ML Hayden,SM Katich,M Ntini,0,0,,,,,,caught,ML Hayden,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.5,Australia,South Africa,RT Ponting,SM Katich,M Ntini,0,0,,,,,,caught,RT Ponting,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,2.6,Australia,South Africa,MEK Hussey,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.1,Australia,South Africa,SM Katich,MEK Hussey,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.2,Australia,South Africa,SM Katich,MEK Hussey,DW Steyn,1,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.3,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.4,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.5,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,3.6,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.1,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.2,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.3,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.4,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.5,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,4.6,Australia,South Africa,SM Katich,MEK Hussey,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.1,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.2,Australia,South Africa,MEK Hussey,SM Katich,DW Steyn,0,0,,,,,,caught,MEK Hussey,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.3,Australia,South Africa,MJ Clarke,SM Katich,DW Steyn,1,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.4,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.5,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,5.6,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.1,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.2,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.3,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.4,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.5,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,6.6,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,2,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.1,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.2,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.3,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.4,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,3,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.5,Australia,South Africa,MJ Clarke,SM Katich,DW Steyn,1,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,7.6,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.1,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.2,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,1,,1,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.3,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.4,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.5,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.6,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,8.7,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.1,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.2,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.3,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,2,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.4,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,4,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.5,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,9.6,Australia,South Africa,SM Katich,MJ Clarke,DW Steyn,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,10.1,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,10.2,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,10.3,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,2,0,,,,,,,,,
351681,2008/09,2008-12-17,Western Australia Cricket Association Ground,1,10.4,Australia,South Africa,MJ Clarke,SM Katich,M Ntini,0,0,,,,,,,,,
