match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1115780,2017/18,2018-03-22,Eden Park,1,0.1,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,0.2,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,0.3,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,0.4,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,0.5,England,New Zealand,AN Cook,MD Stoneman,TA Boult,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,0.6,England,New Zealand,MD Stoneman,AN Cook,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.1,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.2,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.3,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.4,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.5,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,1.6,England,New Zealand,AN Cook,MD Stoneman,TG Southee,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.1,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.2,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.3,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.4,England,New Zealand,AN Cook,MD Stoneman,TA Boult,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.5,England,New Zealand,MD Stoneman,AN Cook,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,2.6,England,New Zealand,MD Stoneman,AN Cook,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.1,England,New Zealand,AN Cook,MD Stoneman,TG Southee,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.2,England,New Zealand,MD Stoneman,AN Cook,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.3,England,New Zealand,MD Stoneman,AN Cook,TG Southee,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.4,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.5,England,New Zealand,AN Cook,MD Stoneman,TG Southee,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,3.6,England,New Zealand,AN Cook,MD Stoneman,TG Southee,1,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,4.1,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,,,,
1115780,2017/18,2018-03-22,Eden Park,1,4.2,England,New Zealand,AN Cook,MD Stoneman,TA Boult,0,0,,,,,,caught,AN Cook,,
1115780,2017/18,2018-03-22,Eden Park,1,4.3,England,New Zealand,JE Root,MD Stoneman,TA Boult,0,0,,,,,,,,,
